Source,Perturbation Family,Individual Perturbation,Layer,Direction,RAFT,ChaosAPI,FlakeProbe,Language Agnostic,Implementation Mechanism,Flakiness Potential (Yes/Partial/No),Why Promising
Original,Network,Upload and download bandwidth,,Slow,Yes,No,No,Yes,Wondershaper (tc netem rate) or --network with a custom bridge.,Yes,Classic driver of network-timeout flakiness in integration tests.
Original,Network,Network fully disabled,Docker,Off,No,No,Yes,Yes,'--network none,Yes,Baseline connectivity fault; already validated in your own sheet (FlakeProbe=Yes).
Original,Network,DNS broken,,Off (unavailable),No,No,No,Yes,'--dns <bad resolver> or --add-host domain bad-ip,Yes,DNS resolution failures are among the most common real-world CI flake sources.
Original,Network,Service unreachable,,Off,No,No,No,Yes,"'--add-host service.domain 127.0.0.1, firewall rule, or isolated Docker network",Yes,"Simulates dependency downtime, a top real-world cause of flaky integration/e2e tests."
Original,Network,Packet delay,,Slow,No,Yes,No,Yes,tc netem delay <ms>,Yes,Classic exposer of timeout and race-condition bugs in async code.
Original,Network,Packet jitter,,Variable delay,No,No,No,Yes,tc netem delay <ms> <jitter>,Yes,Variable delay (vs. constant) specifically targets retry/backoff logic bugs.
Original,Network,Packet loss,,Lossy,No,No,No,Yes,tc netem loss <percent>,Yes,Exposes retry-logic and TCP-timeout handling bugs.
Original,Network,Packet duplication,,Duplicate,No,No,No,Yes,tc netem duplicate <percent>,Yes,Surfaces idempotency bugs when duplicate messages/responses are processed twice.
Original,Network,Packet corruption,,Corrupt packets,No,No,No,Yes,tc netem corrupt <percent>,Partial,"Often caught and dropped at the transport/checksum layer before reaching the app, so effect is less consistent than loss/delay."
Original,Network,Packet reordering,,Reordered,No,No,No,Yes,tc netem reorder <percent>,Yes,Exposes ordering-assumption bugs in async/streaming code.
Original,Network,Connection timeout,,Off (timeout),No,No,No,Yes,iptables -A OUTPUT -p tcp --dport 80 -j DROP,Yes,"Classic ""hang until client timeout"" flakiness driver."
Original,Network,Connection reset,,Reset,No,No,No,Yes,iptables -A OUTPUT -p tcp --dport 80 -j REJECT --reject-with tcp-reset,Yes,Exposes abrupt-disconnect handling vs. graceful-close assumptions.
Original,Network,Upload/download asymmetric throttling,,Slow one direction,No,No,No,Yes,tc tbf or tc netem rate,Yes,"Mimics real-world asymmetric links, surfacing upload-specific timeout bugs."
Original,Network,Port blocking,,Selective Off,No,No,No,Yes,iptables -A OUTPUT -p tcp --dport <port> -j DROP,Yes,Simulates selective firewall/service blocking scenarios.
Original,Random,Fixed random seed,Runtime/env,Fixed seed,No,No,Yes,No,'-e FLAKEPROBE_RANDOM_SEED <seed> + language adapter,Partial,Primarily a control/reproducibility mechanism rather than a perturbation; only exposes flakiness if the chosen seed happens to hit an edge case.
Original,Random,Deterministic boundary RNG value,API/runtime,Min / max / zero / one,No,Yes,Yes,No,"Python monkeypatch, Java agent, Node preload",Yes,"Directly forces min/max/zero/one edge cases, a high-yield way to target boundary bugs."
Original,Time,Fixed increment clock,OS + runtime,Forward fixed delta per call,No,Yes,Yes,Partially,libfaketime + runtime adapters,Yes,Surfaces time-arithmetic bugs by controlling clock progression precisely.
Original,Time,Low-resolution / rounded clock,API/runtime,Rounded precision,No,Yes,Yes,No,"Python monkeypatch, Java agent, Node preload",Yes,Exposes precision-assumption bugs like duplicate/colliding timestamps.
Original,Time,Fast / Slow clock,Process/runtime,Fast / Slow,No,Yes,Yes,Partially,"libfaketime with FAKETIME ""+0 x10 (0.1)"" + runtime adapters",Yes,Surfaces timeout/interval logic errors and wall-clock vs. monotonic-clock confusion.
Original,Date,Date freeze,OS / runtime,Target date,No,Yes,Yes,Partially,libfaketime via Docker env vars + runtime adapters,Yes,"Targets date-boundary bugs (DST transitions, leap years, month-end rollovers)."
Original,Locale,Locale change,OS/env + Runtime,Locale switch,No,Yes,Yes,Partially,Docker env vars: -e LANG tr_TR.UTF-8 -e LC_ALL tr_TR.UTF-8 -e LANGUAGE tr_TR:tr; Java reinforcement with JAVA_TOOL_OPTIONS -Duser.language tr -Duser.country TR; and runtime adapters,Yes,Locale-dependent parsing/formatting bugs are a well-documented flake class.
Original,Sleep,Sleep increase / decrease,,Increase / decrease,No,Yes,Yes,No,Language specific implementation,Yes,"Directly targets races hidden behind fixed sleep-based waits, a top real-world flaky-test root cause."
Original,Concurrency timeout shrinking,Timeout shrinking for concurrency primitives,,Timeout (short),No,Yes,Yes,No,Language specific implementation,Yes,Directly stresses race conditions in concurrent code by tightening timing margins.
New,CPU,NUMA memory pinning,Docker,Fixed / restricted nodes,No,No,No,Yes,'--cpuset-mems 0,Yes,"Forces CPU-memory locality mismatch, exposing latency-sensitive/NUMA-unaware code paths that behave differently across cloud/CI hosts."
New,CPU,Real-time scheduling constraint,Docker,Restricted RT budget,No,No,No,Yes,'--cap-add sys_nice --cpu-rt-period <us> --cpu-rt-runtime <us>,Yes,"Constrains real-time scheduling budget, surfacing priority-inversion and scheduling-jitter bugs in latency-sensitive workloads. Requires --cap-add=sys_nice — without it, --cpu-rt-runtime is silently ignored."
New,Memory,OOM kill disabled,Docker,Hang instead of kill,No,No,No,Yes,'--oom-kill-disable -m <size>,Yes,"Produces hang/thrash instead of a clean kill, exposing tests that assume OOM means a fast crash rather than slow degradation."
New,Memory,OOM score bias,Docker,Prioritized kill target,No,No,No,Yes,'--oom-score-adj <value>,Yes,"Changes which process the kernel kills first under shared pressure, surfacing assumptions about which component fails first in multi-process test setups."
New,Memory,Unlimited swap,Docker,High,No,No,No,Yes,'--memory-swap -1,Yes,Opposite extreme from swap-limited; surfaces severe thrashing-induced timeouts that a swap-disabled test won't catch.
New,Disk,Per-device block IO weight,Docker,Low,No,No,No,Yes,'--blkio-weight-device <dev>:<weight>,Partial,Only manifests under concurrent I/O contention on that specific device; needs a competing workload to reveal anything.
New,Disk,Device access revoked mid-run,Docker,Off,No,No,No,Yes,'--device-cgroup-rule 'c 8:* rmw' (deny variant),Yes,"Simulates hot-unplug/permission-revocation scenarios, exposing unhandled device-error paths that don't appear in static read-only tests."
New,Network,Host network namespace,Docker,Shared,No,No,No,Yes,'--network host,Yes,"Removes network isolation entirely, exposing port-collision and shared-socket bugs that only occur outside the default bridge namespace."
New,Network,Container-shared network namespace,Docker,Shared,No,No,No,Yes,'--network container:<id>,Yes,"Forces two containers to share one network stack, surfacing state leakage/port-conflict bugs relevant to sidecar-style architectures."
New,Network,Connection backlog starvation,Docker,Low,No,No,No,Yes,'--sysctl net.core.somaxconn <low>,Yes,"Starves the accept queue under load, directly reproducing intermittent ""connection refused"" flakes seen in real CI under load."
New,Network,TCP syncookies toggle,Docker,Variable,No,No,No,Yes,'--sysctl net.ipv4.tcp_syncookies <0|1>,Partial,Mostly affects SYN-flood handling; useful for load-test-adjacent flakiness but narrower applicability than other network faults.
New,Network,Fixed MAC/IP identity,Docker,Fixed,No,No,No,Yes,'--ip <addr> --mac-address <addr>,Yes,Surfaces hard-coded IP/MAC assumptions and ARP-cache related races in tests that assume ephemeral addressing.
New,Network,Port publish collision,Docker,Conflict,No,No,No,Yes,'--publish <hostport>:<containerport> with pre-bound host port,Yes,"Directly reproduces the extremely common ""port already in use"" CI flake from parallel test runs."
New,Network,DNS resolver tuning,Docker,Degraded,No,No,No,Yes,'--dns-option ndots:<n> ; --dns-option timeout:<n> ; --dns-option attempts:<n>,Yes,"These are the actual knobs behind real-world Kubernetes/Docker DNS flakiness reports, more representative than a fully broken resolver."
New,Process Limits,PID count limit,Docker,Low,No,No,No,Yes,'--pids-limit <n>,Yes,"Triggers fork/thread-spawn failures in test frameworks that parallelize via subprocess pools, a realistic resource-exhaustion flake."
New,Process Limits,File descriptor exhaustion,Docker,Low,No,No,No,Yes,'--ulimit nofile <soft>:<hard>,Yes,"""Too many open files"" is one of the most common real-world CI flakes; directly reproducible via ulimit."
New,Process Limits,Process/thread count limit,Docker,Low,No,No,No,Yes,'--ulimit nproc <soft>:<hard>,Yes,Exposes thread-pool sizing bugs and silent thread-creation failures.
New,Process Limits,Locked memory limit,Docker,Low,No,No,No,Yes,'--ulimit memlock <soft>:<hard>,Partial,"Narrower blast radius, mainly affects crypto/mlock-using code; still worth covering for completeness."
New,Process Limits,Stack size limit,Docker,Low,No,No,No,Yes,'--ulimit stack <soft>:<hard>,Yes,"Surfaces stack-overflow-on-deep-recursion bugs that only manifest with a reduced stack, common in recursive parsers/test generators."
New,Security/Capabilities,Capability drop,Docker,Restricted,No,No,No,Yes,'--cap-drop <CAP_NAME>,Yes,"Exposes tests that implicitly assume elevated privileges (e.g. raw sockets, ptrace), a common source of ""works on my machine"" flakiness in restrictive CI sandboxes."
New,Security/Capabilities,Seccomp syscall restriction,Docker,Restricted,No,No,No,Yes,'--security-opt seccomp <profile.json>,Yes,"Directly surfaces syscall-dependent flakiness, especially in native/JIT-heavy runtimes calling less common syscalls."
New,Security/Capabilities,Privilege escalation blocked,Docker,Off,No,No,No,Yes,'--security-opt no-new-privileges,Partial,"Narrow effect, only relevant to tests that shell out to setuid binaries; useful but low-frequency trigger."
New,Security/Capabilities,Non-root execution,Docker,Restricted,No,No,No,Yes,'--user <uid>:<gid>,Yes,"Permission-dependent failures (write access, binding to low ports) are a very common and realistic CI flake source."
New,Security/Capabilities,AppArmor profile enforcement,Docker,Restricted,No,No,No,Yes,'--security-opt apparmor <profile>,Partial,"High blast radius but platform/host-dependent (not portable across CI providers), so useful yet lower priority than seccomp/user."
New,Namespace Isolation,IPC namespace isolation,Docker,Off / Private,No,No,No,Yes,'--ipc none or --ipc private,Yes,Surfaces shared-memory/semaphore visibility bugs between cooperating test processes.
New,Namespace Isolation,PID namespace sharing,Docker,Host-shared,No,No,No,Yes,'--pid host,Yes,"Exposes PID-collision and process-visibility assumptions, relevant to test harnesses that inspect processes by PID."
New,Namespace Isolation,UTS/hostname namespace sharing,Docker,Host-shared,No,No,No,Yes,'--uts host,Partial,Mostly affects tests that read/assert on hostname; narrower but easy to add.
New,Namespace Isolation,User namespace remap,Docker,Remapped UID,No,No,No,Yes,'--userns <remap-mode>,Yes,Surfaces UID-mapping mismatches causing permission errors that look non-deterministic across environments.
New,Lifecycle/Signal,Init/PID1 reaping absent,Docker,Off,No,No,No,Yes,run without --init (default),Yes,Classic zombie-process and signal-forwarding bug source; tests hang because SIGTERM never reaches the real process.
New,Lifecycle/Signal,Init/PID1 reaping present,Docker,On,No,No,No,Yes,'--init,Yes,"Inverse control condition, useful to isolate whether observed flakiness is actually caused by missing PID-1 reaping."
New,Lifecycle/Signal,Custom stop signal,Docker,Non-default,No,No,No,Yes,'--stop-signal <SIGNAL>,Partial,Only matters for apps with non-default shutdown hooks; useful but scoped.
New,Lifecycle/Signal,Shutdown grace period shrink,Docker,Short,No,No,No,Yes,'--stop-timeout <short seconds>,Yes,"Directly reproduces ""test cleanup killed mid-flight"" flakiness from CI timeout pressure."
New,Lifecycle/Signal,Mid-run restart policy,Docker,Restart,No,No,No,Yes,'--restart on-failure or --restart always + externally triggered kill,Yes,"Simulates infra-level container restarts during a test run, a realistic and under-tested source of state-loss flakiness."
New,Lifecycle/Signal,Health-check driven perturbation,Docker/Orchestrator,Variable,No,No,No,Yes,"'--health-cmd, --health-interval, --health-retries",Partial,"Mostly relevant under orchestration (Compose/Swarm/K8s), so less applicable to a plain single-container test harness."
New,Runtime Variation,Alternate container runtime,Docker,Variable,No,No,No,Yes,'--runtime runsc (gVisor) vs default runc,Yes,Different syscall emulation timing/behavior directly surfaces syscall-dependent flakiness that's invisible under standard runc.
New,Runtime Variation,GPU access removed,Docker,Off,No,No,No,Yes,'--gpus none (omit flag) vs --gpus all,Yes,"Reproduces ""GPU unavailable"" fallback-path bugs in ML test suites, an increasingly common real-world flake class."
New,Process Limits,Address space limit,Docker,Low,No,No,No,Yes,'--ulimit as <soft>:<hard>,Yes,"Caps total virtual address space per process, distinct from --memory (RSS-based); surfaces mmap/allocation-failure paths that memory-limit tests don't reach."
New,Process Limits,CPU time limit,Docker,Low,No,No,No,Yes,'--ulimit cpu <seconds>,Yes,"Hard-kills a process after N seconds of CPU time regardless of wall-clock, exposing SIGXCPU-handling gaps that timeout-based tests don't cover."
New,Process Limits,Max file size limit,Docker,Low,No,No,No,Yes,'--ulimit fsize <soft>:<hard>,Yes,"Truncates writes once a file exceeds the limit, surfacing unhandled partial-write/EFBIG errors in log-heavy or export-heavy tests."
New,Process Limits,File lock limit,Docker,Low,No,No,No,Yes,'--ulimit locks <soft>:<hard>,Yes,"Exhausts flock/fcntl locks, surfacing lock-contention bugs in DB-adjacent or multi-process file-coordination tests."
New,Process Limits,POSIX message queue size limit,Docker,Low,No,No,No,Yes,'--ulimit msgqueue <soft>:<hard>,Partial,"Narrow blast radius, only affects POSIX message-queue users (uncommon outside specific IPC-heavy services)."
New,Process Limits,Resident set size limit,Docker,Low,No,No,No,Yes,'--ulimit rss <soft>:<hard>,Partial,Legacy limit not enforced by modern Linux kernels for most workloads; low practical yield.
New,Process Limits,Real-time priority ceiling,Docker,Restricted,No,No,No,Yes,'--ulimit rtprio <soft>:<hard>,Partial,"Only relevant to real-time-scheduled processes, a narrow slice of typical test suites."
New,Process Limits,Real-time CPU time limit,Docker,Low,No,No,No,Yes,'--ulimit rttime <soft>:<hard>,Partial,Same narrow real-time-only applicability as the rtprio limit.
New,Process Limits,Pending signal limit,Docker,Low,No,No,No,Yes,'--ulimit sigpending <soft>:<hard>,Yes,"Caps queued signals per process, surfacing dropped-signal bugs in tests that rely on rapid signal delivery (e.g. custom scheduler/interrupt logic)."
New,Network,TCP keepalive tuning,Docker,Fast/Slow detection,No,No,No,Yes,'--sysctl net.ipv4.tcp_keepalive_time <s> net.ipv4.tcp_keepalive_intvl <s>,Yes,"Changes how fast dead connections are detected, directly affecting flakiness in tests relying on connection-liveness timing."
New,Network,Ephemeral port range shrink,Docker,Narrow,No,No,No,Yes,'--sysctl net.ipv4.ip_local_port_range <low high>,Yes,"Shrinking the ephemeral port range reproduces real ""cannot assign requested address"" flakiness under high connection churn."
New,Network,TCP FIN/TIME_WAIT timeout tuning,Docker,Short,No,No,No,Yes,'--sysctl net.ipv4.tcp_fin_timeout <s>,Yes,"Controls TIME_WAIT duration, directly reproducing port-reuse/""address already in use"" flakiness in rapid connect/disconnect test loops."
New,Network,Socket buffer size cap,Docker,Low,No,No,No,Yes,'--sysctl net.core.rmem_max <bytes> net.core.wmem_max <bytes>,Partial,"Caps socket buffer size, mostly affects high-throughput transfer tests; narrower than latency/loss-based network faults."
New,Disk,Generic device passthrough restriction,Docker,Restricted r/w/m,No,No,No,Yes,'--device <host-path>:<container-path>:<r|w|m permissions>,Yes,"Exposes host device availability/permission assumptions (r/w/m) distinct from full device-cgroup denial, useful for hardware-adjacent test suites."
New,Network,DNS search domain manipulation,Docker,Altered,No,No,No,Yes,'--dns-search <domain>,Yes,"Manipulating the search-domain list surfaces short-name vs. FQDN resolution bugs, a common real-world intermittent DNS issue."
New,Security/Capabilities,Supplementary group membership,Docker,Restricted,No,No,No,Yes,'--group-add <group>,Yes,"Supplementary group membership changes surface permission checks gated on group rather than user identity, complementing --user."
New,Runtime Variation,Cross-architecture emulation,Docker,Foreign arch,No,No,No,Yes,'--platform linux/arm64 (or linux/amd64) forcing emulation,Yes,"Forces cross-architecture emulation, surfacing endianness, floating-point precision, and native-extension/JIT differences — a well-documented real flake source untouched by RAFT/ChaosAPI."
